SCHOOL,LOCATION,DISTRICT,REGION
"ISLAMIC SCIENCE SENIOR HIGH SCHOOL, TAMALE",TAMALE,SAGNERIGU,NORTHERN
NORTHERN SCHOOL OF BUSINESS,TAMALE,SAGNERIGU,NORTHERN
TAMALE TECHNICAL INSTITUTE,TAMALE,SAGNERIGU,NORTHERN
TAMALE SENIOR HIGH SCHOOL,TAMALE,SAGNERIGU,NORTHERN
KALPOHIN SENIOR HIGH SCHOOL,TAMALE,SAGNERIGU ,NORTHERN
PONG-TAMALE SENIOR HIGH SCHOOL,PONG-TAMALE,SAVELUGU-NANTON,NORTHERN
SAVELUGU SENIOR HIGH SCHOOL,SAVELUGU,SAVELUGU-NANTON,NORTHERN
"BUSINESS SENIOR HIGH SCHOOL, TAMALE",TAMALE,TAMALE METRO,NORTHERN
"GHANA SENIOR HIGH SCHOOL, TAMALE",TAMALE,TAMALE METRO,NORTHERN
DABOKPA VOC/TECH. INST.,TAMALE,TAMALE METRO,NORTHERN
VITTING SENIOR HIGH/TECH.,TAMALE,TAMALE METRO,NORTHERN
"ST. CHARLES SENIOR HIGH SCHOOL, TAMALE",TAMALE,TAMALE METRO,NORTHERN
ANBARIYA SENIOR HIGH SCHOOL,TAMALE,TAMALE METRO,NORTHERN
TAMALE GIRLS SENIOR HIGH SCHOOL,TAMALE,TAMALE METRO,NORTHERN
"PRESBY SENIOR HIGH SCHOOL, TAMALE",TAMALE,TAMALE METRO,NORTHERN
E. P. AGRIC SENIOR HIGH/TECH SCHOOL,TATALE,TATALE SANGULI ,NORTHERN
KASULIYILI SENIOR HIGH SCHOOL,KASULIYILI,TOLON ,NORTHERN
TOLON SENIOR HIGH SCHOOL,TOLON,TOLON ,NORTHERN
DAGBON STATE SENIOR HIGH/TECH SCHOOL,YENDI,YENDI MUNICIPAL,NORTHERN
YENDI SENIOR HIGH SCHOOL,YENDI,YENDI MUNICIPAL,NORTHERN
ZABZUGU SENIOR HIGH SCHOOL,ZABZUGU,ZABZUGU ,NORTHERN
WORAWORA SENIOR HIGH SCHOOL,WORAWORA,BIAKOYE,OTI
TAPAMAN SENIOR HIGH/TECH SCHOOL,TAPA-AMANFROM,BIAKOYE,OTI
BOWIRI COMM. DAY SCHOOL,BOWIRI,BIAKOYE,OTI
NKONYA SENIOR HIGH SCHOOL,NKONYA-AHENKRO,BIAKOYE,OTI
BIAKOYE COMM. DAY SCHOOL,KWAMEKROM ,BIAKOYE,OTI
BUEMAN SENIOR HIGH SCHOOL,JASIKAN,JASIKAN,OTI
OKADJAKROM SENIOR HIGH/TECH SCHOOL,OKADJAKROM,JASIKAN,OTI
BAGLO  RIDGE SENIOR HIGH/TECH SCHOOL,BAGLO,JASIKAN,OTI
FR. DOGLI MEMORIAL VOC.TECH. INST.,NEW AYOMA,JASIKAN,OTI
AHAMANSU ISLAMIC SENIOR HIGH SCHOOL,AHAMANSU,KADJEBI,OTI
DODI-PAPASE SENIOR HIGH/TECH SCHOOL,DODI PAPASE,KADJEBI,OTI
KADJEBI-ASATO SENIOR HIGH SCHOOL,KADJETO-ASATO,KADJEBI,OTI
OTI SENIOR HIGH/TECH SCHOOL,DAMBAI,KRACHI EAST,OTI
YABRAM COMM. DAY SCHOOL,DAMBAI,KRACHI EAST,OTI
ASUKAWKAW SENIOR HIGH SCHOOL,ASUKAWKAW,KRACHI EAST,OTI
NCHUMURUMAN COMM. DAY SENIOR HIGH SCHOOL,[NEAR] TEGBI,KRACHI NCHUMURU,OTI
KETE KRACHI SENIOR HIGH/TECH SCHOOL,KETE-KRACHI,KRACHI WEST,OTI
KRACHI SENIOR HIGH SCHOOL,KETE-KRACHI,KRACHI WEST,OTI
KPASSA SENIOR HIGH/TECH SCHOOL,KPASSA,NKWANTA NORTH,OTI
NKWANTA SENIOR HIGH SCHOOL,NKWANTA,NKWANTA SOUTH,OTI
NKWANTA COMM SENIOR HIGH SCHOOL,NKWANTA,NKWANTA SOUTH,OTI
KYABOBO GIRLS SENIOR HIGH SCHOOL,NKWANTA,NKWANTA SOUTH,OTI
NTRUBOMAN SENIOR HIGH SCHOOL,BREWANIASE,NKWANTA SOUTH,OTI
BAMBOI COMM. SENIOR HIGH SCHOOL,BAMBOI,BOLE,SAVANNAH
BOLE SENIOR HIGH SCHOOL,BOLE ,BOLE,SAVANNAH
ST. ANTHONY OF PADUA SENIOR HIGH/TECH SCHOOL,BAMBOI,BOLE,SAVANNAH
BUIPE SENIOR HIGH SCHOOL,BUIPE,CENTRAL GONJA,SAVANNAH
BUIPE TECH/VOC INST.,BUIPE,CENTRAL GONJA,SAVANNAH
MPAHA COMMUNITY DAY SENIOR HIGH SCHOOL,MPAHA,CENTRAL GONJA,SAVANNAH
SALAGA SENIOR HIGH SCHOOL,SALAGA,EAST GONJA,SAVANNAH
SALAGA T.I. AHMAD SENIOR HIGH SCHOOL,SALAGA,EAST GONJA,SAVANNAH
DABOYA COMM. DAY SCHOOL,DABOYA,NORTH GONJA,SAVANNAH
TUNA SENIOR HIGH/TECH SCHOOL,TUNA,SAWLA-TUNA-KALBA,SAVANNAH
SAWLA SENIOR HIGH SCHOOL,SAWLA,SAWLA-TUNA-KALBA,SAVANNAH
NDEWURA JAKPA SENIOR HIGH/TECH SCHOOL,DAMONGO,WEST GONJA,SAVANNAH
DAMONGO SENIOR HIGH SCHOOL,DAMONGO,WEST GONJA,SAVANNAH
BAWKU TECH. INST.,BAWKU KPALUGU,BAWKU EAST,UPPER EAST
BAWKU SENIOR HIGH/TECH SCHOOL,BAWKU,BAWKU MUNICIPAL,UPPER EAST
BAWKU SENIOR HIGH SCHOOL,BAWKU,BAWKU MUNICIPAL,UPPER EAST
ZEBILLA SENIOR HIGH/TECH SCHOOL,ZEBILLA,BAWKU WEST,UPPER EAST
KUSANABA SENIOR HIGH SCHOOL,KUSANABA,BAWKU WEST,UPPER EAST
BINDURI COMM. SENIOR HIGH SCHOOL,BINDURI,BINDURI,UPPER EAST
GAMBIGO COMM. DAY SENIOR HIGH SCHOOL,GAMBIGO,BOLGA EAST,UPPER EAST
BOLGA TECH. INST.,BOLGATANGA,BOLGATANGA,UPPER EAST
BOLGA GIRLS SENIOR HIGH SCHOOL,ZAARE-BOLGATANGA,BOLGATANGA MUNICIPAL,UPPER EAST
ZUARUNGU SENIOR HIGH SCHOOL,ZUARUNGU,BOLGATANGA MUNICIPAL,UPPER EAST
BOLGA SHERIGU COMM. SENIOR HIGH SCHOOL,BOLGA,BOLGATANGA MUNICIPAL,UPPER EAST
ZAMSE SENIOR HIGH/TECH SCHOOL,BOLGATANGA,BOLGATANGA MUNICIPAL,UPPER EAST
AZEEM-NAMOA SENIOR HIGH/TECH SCHOOL,SAMBOLIGO AMANGA NABIISI,BONGO,UPPER EAST
BONGO SENIOR HIGH SCHOOL,BONGO,BONGO,UPPER EAST
ZORKOR SENIOR HIGH SCHOOL,ZORKOR,BONGO,UPPER EAST
GOWRIE SENIOR HIGH/TECH SCHOOL,GOWRIE,BONGO,UPPER EAST
SANDEMA SENIOR HIGH SCHOOL,SANDEMA,BUILSA NORTH,UPPER EAST
SANDEMA SENIOR HIGH/TECH SCHOOL,DAMPONG,BUILSA NORTH,UPPER EAST
WIAGA COMM. SENIOR HIGH SCHOOL,WIAGA,BUILSA NORTH,UPPER EAST
KANJAGA COMM. SENIOR HIGH SCHOOL,KANJAGA,BUILSA NORTH,UPPER EAST
FUMBISI SENIOR HIGH SCHOOL,FUMBISI,BUILSA SOUTH,UPPER EAST
GARU COMM. DAY SENIOR HIGH SCHOOL,GARU,GARU TEMPANE,UPPER EAST
TEMPANE SENIOR HIGH SCHOOL,TEMPANE,GARU TEMPANI,UPPER EAST
O.L.L. GIRLS SENIOR HIGH SCHOOL,NAVRONGO,KASENA-NANKANI ,UPPER EAST
AWE SENIOR HIGH/TECH SCHOOL,NAVRONGO,KASENA-NANKANI MUNICIPAL,UPPER EAST
ST. JOHN'S INTEGRATED SENIOR HIGH/TECH SCHOOL,TONO,KASENA-NANKANI MUNICIPAL,UPPER EAST
NOTRE DAME SEM/ SENIOR HIGH SCHOOL NAVRONGO,NAVRONGO,KASENA-NANKANI MUNICIPAL,UPPER EAST
NAVRONGO SENIOR HIGH SCHOOL,JANANIA-NAVRONGO,KASENA-NANKANI MUNICIPAL,UPPER EAST
PAGA SENIOR HIGH SCHOOL,PAGA,KASENA-NANKANI WEST,UPPER EAST
SIRIGU INTEGRATED SENIOR HIGH SCHOOL,SIRIGU,KASENA-NANKANI WEST,UPPER EAST
NABANGO SENIOR HIGH SCHOOL,NABANGO,KASENA-NANKANI WEST,UPPER EAST
MIRIGU COMMUNITY DAY SENIOR HIGH SCHOOL,MIRIGU,KASENA-NANKANI WEST,UPPER EAST
CHIANA SENIOR HIGH SCHOOL,CHIANA,KASENA-NANKANI WEST,UPPER EAST
ST. BERNADETTES TECH/VOC. INST.,NAVRONGO,KASSENA NANAKANA EAST,UPPER EAST
KONGO SENIOR HIGH SCHOOL,KONGO,NABDAM,UPPER EAST
TONGO SENIOR HIGH/TECH SCHOOL,TONGO,TALENSI,UPPER EAST
BOLGATANGA SENIOR HIGH SCHOOL,BOLGATANGA,TALENSI ,UPPER EAST
DAFFIAMAH SENIOR HIGH SCHOOL,DAFFIAMAH,BUSSIE-ISSA,UPPER WEST
ULLO SENIOR HIGH SCHOOL,ULLO,JIRAPA,UPPER WEST
HAN SENIOR HIGH SCHOOL,JIRAPA,JIRAPA,UPPER WEST
JIRAPA SENIOR HIGH SCHOOL,JIRAPA-TOWN,JIRAPA,UPPER WEST
"ST. FRANCIS GIRLS SENIOR HIGH SCHOOL, JIRAPA",JIRAPA,JIRAPA,UPPER WEST
PIINA SENIOR HIGH SCHOOL,PIINA,LAMBUSIE-KARNI,UPPER WEST
LAMBUSSIE COMM SENIOR HIGH SCHOOL,LAMBUSSIE,LAMBUSIE-KARNI,UPPER WEST
EREMON SENIOR HIGH/TECH SCHOOL,EREMON,LAWRA,UPPER WEST
LAWRA SENIOR HIGH SCHOOL,LAWRA,LAWRA,UPPER WEST
BIRIFOH SENIOR HIGH SCHOOL,LAWRA,LAWRA,UPPER WEST
"QUEEN OF PEACE SENIOR HIGH SCHOOL, NADOWLI",NADOWLI,NADOWLI,UPPER WEST
"ST. AUGUSTINE SENIOR HIGH/TECH SCHOOL, SAAN CHARIKPONG","SAAN, CHARIKPONG",NADOWLI,UPPER WEST
TAKPO SENIOR HIGH SCHOOL,TAKPO,NADOWLI,UPPER WEST
KALEO SENIOR HIGH/TECH SCHOOL,KALEO,NADOWLI,UPPER WEST
ST. BASILIDES VOC./TECH. INST.,KALEO,NADOWLI KALEO,UPPER WEST
SOMBO SENIOR HIGH SCHOOL,SOMBO,NADOWLI/KALEO,UPPER WEST
NANDOM SENIOR HIGH SCHOOL,NANDOM,NANDOM,UPPER WEST
HOLY FAMILY SENIOR HIGH SCHOOL,HAMILE,NANDOM,UPPER WEST
ST.JOHN'S VOC. TECH. INSTITUTE,NANDOM,NANDOM,UPPER WEST
KO SENIOR HIGH SCHOOL,KO-NANDOM,NANDOM,UPPER WEST
TUMU SENIOR HIGH/TECH SCHOOL,TUMU,SISALA EAST,UPPER WEST
KANTON SENIOR HIGH SCHOOL,TUMU,SISALA EAST,UPPER WEST
DR. HILA LIMAN SENIOR  HIGH SCHOOL,GWOLLU,SISALA WEST,UPPER WEST
LOGGU COMM. DAY SCHOOL,LOGGU,WA EAST,UPPER WEST
FUNSI SENIOR HIGH SCHOOL,FUNSI,WA EAST,UPPER WEST
"T. I. AHMADIYYA SENIOR HIGH SCHOOL, WA",WA,WA MUNICIPAL,UPPER WEST
NORTHERN STAR SENIOR HIGH SCHOOL,"MANGU, WA",WA MUNICIPAL,UPPER WEST
JAMIAT AL-HIDAYA ISLAMIC GIRLS SENIOR HIGH SCHOOL,WA,WA MUNICIPAL,UPPER WEST
WA SENIOR HIGH/TECH SCHOOL,WA,WA MUNICIPAL,UPPER WEST
WA SENIOR HIGH SCHOOL,WA,WA MUNICIPAL,UPPER WEST
WA TECH. INST.,WA,WA MUNICIPAL,UPPER WEST
"ISLAMIC SENIOR HIGH SCHOOL, WA",WA,WA MUNICIPAL,UPPER WEST
LASSIE-TUOLU SENIOR HIGH SCHOOL,LASSIE,WA WEST,UPPER WEST
ABUADI/TSREFE SENIOR HIGH SCHOOL ,ADAKLU - ABUADI,ADAKLU,VOLTA
ADAKLU SENIOR HIGH SCHOOL,ADAKLU,ADAKLU-ANYIGBE,VOLTA
VE COMM. SENIOR HIGH SCHOOL,VE-KOLOENU,AFADZATO SOUTH,VOLTA
LEKLEBI SENIOR HIGH SCHOOL ,LEKLEBI,AFADZATO SOUTH,VOLTA
JIM BOURTON MEM AGRIC. SENIOR HIGH SCHOOL,LOGBA ADZOKOE,AFADZATO SOUTH,VOLTA
AGATE COMM. SENIOR HIGH SCHOOL,AGATE,AFADZATO SOUTH,VOLTA
ST. DANIEL COMBONI TECH/VOC INST.,LIATI,AFADZTO SOUTH,VOLTA
HAVE TECH. INST.,HAVE,AFADZTO SOUTH,VOLTA
AGOTIME SENIOR HIGH SCHOOL,KPETOE,AGORTIME ZIOPE,VOLTA
ZIOPE SENIOR HIGH SCHOOL,ZIOPE,AGORTIME ZIOPE,VOLTA
AKATSI SENIOR HIGH/TECH SCHOOL,AKATSI,AKATSI,VOLTA
AVE SENIOR HIGH SCHOOL,AVE-DAKPA,AKATSI NORTH,VOLTA
AVENOR SENIOR HIGH SCHOOL,AVENORKPEME,AKATSI SOUTH,VOLTA
ABOR SENIOR HIGH SCHOOL,ABOR,ANLO KETA MUNICIPAL,VOLTA
ANLO AFIADENYIGBA SENIOR HIGH SCHOOL,ANLO AFIADENYIGBA,ANLO KETA MUNICIPAL,VOLTA
TSIAME SENIOR HIGH SCHOOL,TSIAME,ANLO KETA MUNICIPAL,VOLTA
ANLO AWOMEFIA SENIOR HIGH SCHOOL ,ANYAKO,ANLO KETA MUNICIPAL,VOLTA
ATIAVI SENIOR HIGH/TECH SCHOOL,ATIAVI,ANLO KETA MUNICIPAL,VOLTA
KETA BUSINESS SENIOR HIGH SCHOOL,KETA,ANLO KETA MUNICIPAL,VOLTA
ANLO SENIOR HIGH SCHOOL,ANLOGA,ANLO KETA MUNICIPAL,VOLTA
ZION SENIOR HIGH SCHOOL,ANLOGA,ANLO KETA MUNICIPAL,VOLTA
VOLTA SENIOR HIGH SCHOOL,DZITA-AGBLEDOMI,ANLO KETA MUNICIPAL,VOLTA
MAFI-KUMASI SENIOR HIGH/TECH SCHOOL,MAFI-KUMASI,CENTRAL TONGU,VOLTA
ADIDOME SENIOR HIGH SCHOOL,ADIDOME,CENTRAL TONGU,VOLTA
VOLTA TECH INST,MATSE,HO ,VOLTA
SHIA SENIOR HIGHTECHNICAL SCHOOL,SHIA,HO MUNICIPAL,VOLTA
TANYIGBE SENIOR HIGH SCHOOL,TANYIGBE,HO MUNICIPAL,VOLTA
"OLA GIRLS SENIOR HIGH SCHOOL, HO",HO,HO MUNICIPAL,VOLTA
TAVIEFE COMM. SENIOR HIGH SCHOOL,TAVIEFE,HO MUNICIPAL,VOLTA
E.P.C. MAWUKO GIRLS SENIOR HIGH SCHOOL,HO,HO MUNICIPAL,VOLTA
"MAWULI SCHOOL, HO",HO,HO MUNICIPAL,VOLTA
SOKODE SENIOR HIGH/TECH SCHOOL,SOKODE,HO MUNICIPAL,VOLTA
AWUDOME SENIOR HIGH SCHOOL,TSITO,HO MUNICIPAL,VOLTA
AMEDZOFE TECHNICAL INSTITUTE,AMEDZOFE,HO WEST,VOLTA
KPEDZE SENIOR HIGH SCHOOL,KPEDZE,HO WEST,VOLTA
AVATIME SENIOR HIGH SCHOOL,VANE,HO WEST,VOLTA
AKOME SENIOR HIGH/TECH SCHOOL,AKOME,HO WEST,VOLTA
DZOLO SENIOR HIGH SCHOOL,DZOLO,HO WEST,VOLTA
TSITO SENIOR HIGH/TECH SCHOOL,TSITO,HO WEST,VOLTA
ABUTIA SENIOR HIGH/TCHNICAL SCHOOL,ABUTIA,HO WEST,VOLTA
E. P. TECHNICAL VOCATIONAL INSTITUTE ALAVANYO,FORSON DOTSE,HOHOE,VOLTA
AKPAFU SENIOR HIGH/TECH SCHOOL,AKPAFU,HOHOE MUNICIPAL,VOLTA
LIKPE SENIOR HIGH SCHOOL,LIKPE-MATE,HOHOE MUNICIPAL,VOLTA
E. P. SENIOR HIGH SCHOOL,HOHOE,HOHOE MUNICIPAL,VOLTA
"ST. MARY'S SEM.& SENIOR HIGH SCHOOL, LOLOBI",LOLOBI,HOHOE MUNICIPAL,VOLTA
ALAVANYO SENIOR HIGH/TECH SCHOOL,ALAVANYO-KPEME,HOHOE MUNICIPAL,VOLTA
AFADJATO SENIOR HIGH/TECH SCHOOL,GBLEDI-GBOGAME,HOHOE MUNICIPAL,VOLTA
KETA SENIOR HIGH/TECH SCHOOL,KETA,KETA,VOLTA
ANLO TECH. INST.,ANLOGA,KETA,VOLTA
DZODZE PENYI SENIOR HIGH SCHOOL,DZODZE,KETU NORTH,VOLTA
WOVENU SENIOR HIGH TECHNICAL SCHOOL,TADZEWU,KETU NORTH,VOLTA
WETA SENIOR HIGH/TECH SCHOOL,WETA,KETU NORTH,VOLTA
AFIFE SENIOR HIGH TECH SCHOOL,AFIFE,KETU NORTH,VOLTA
"ST. PAUL'S SENIOR HIGH SCHOOL, DENU",HATSUKOPE/ DENU,KETU SOUTH,VOLTA
THREE TOWN SENIOR HIGH SCHOOL,DENU,KETU SOUTH,VOLTA
SOME SENIOR HIGH SCHOOL,AGBOZUME,KETU SOUTH,VOLTA
KLIKOR SENIOR HIGH/TECH SCHOOL,KLIKOR,KETU SOUTH,VOLTA
BISHOP HERMAN COLLEGE,KPANDO,KPANDO,VOLTA
KPANDO SENIOR HIGH SCHOOL,KPANDO,KPANDO,VOLTA
KPANDO TECH. INST.,KPANDO,KPANDO,VOLTA
C.Y.O.VOC. TECH. INST.,SOVIE,KPANDO,VOLTA
ANFOEGA SENIOR HIGH SCHOOL,ANFOEGA,NORTH DAYI,VOLTA
VAKPO SENIOR HIGH/TECH SCHOOL,VAKPO,NORTH DAYI,VOLTA
VAKPO SENIOR HIGH SCHOOL,VAKPO,NORTH DAYI,VOLTA
DOFOR SENIOR HIGH SCHOOL,JUAPONG ,NORTH TONGU,VOLTA
MEPE ST. KIZITO SENIOR HIGH/TECH SCHOOL,MEPE,NORTH TONGU,VOLTA
BATTOR SENIOR HIGH SCHOOL,BATTOR,NORTH TONGU,VOLTA
VOLO COMM. SENIOR HIGH SCHOOL,VOLO,NORTH TONGU,VOLTA
AVEYIME BATTOR SENIOR HIGH/TECH SCHOOL,AVEYIME-BATTOR,NORTH TONGU,VOLTA
KPEVE SENIOR HIGH SCHOOL,KPEVE,SOUTH DAYI,VOLTA
TONGOR SENIOR HIGH TECH SCHOOL,KPEVE,SOUTH DAYI,VOLTA
PEKI SENIOR HIGH SCHOOL,PEKI,SOUTH DAYI,VOLTA
PEKI SENIOR HIGH/TECHNICAL SCHOOL,PEKI,SOUTH DAYI,VOLTA
ST. CATHERINE GIRLS SENIOR HIGH SCHOOL,AGBAKOPE,SOUTH TONGU,VOLTA
COMBONI TECH/VOC INST.,SOGAKOPE,SOUTH TONGU,VOLTA
SOGAKOPE SENIOR HIGH SCHOOL,SOGAKOPE,SOUTH TONGU,VOLTA
DABALA SENIOR HIGH/TECH.,DABALA ,SOUTH TONGU,VOLTA
ASANKRANGWA SENIOR HIGH/TECH SCHOOL,ASANKRAGWA, WASSA AMENFI WEST,WESTERN
"ST. MARY'S BOYS' SENIOR HIGH SCHOOL, APOWA",APOWA,AHANTA WEST,WESTERN
BAIDOO BONSOE SENIOR HIGH/TECH SCHOOL,AGONA NKWANTA,AHANTA WEST,WESTERN
SANKOR COMM. DAY SENIOR HIGH SCHOOL,SANKOR,AHANTA WEST,WESTERN
BONZO-KAKU SENIOR HIGH SCHOOL,AWIEBO,ELLEMBELE,WESTERN
UTHMAN BIN AFAM SENIOR HIGH SCHOOL,KAMGBUNLI,ELLEMBELE,WESTERN
NKROFUL AGRIC. SENIOR HIGH SCHOOL,NKROFUL,ELLEMBELE,WESTERN
ESIAMA SENIOR HIGH/TECH SCHOOL,ESIAMA,ELLEMBELE,WESTERN
KIKAM TECH. INST.,KIKAM,ELLEMBELLE,WESTERN
HALF ASSINI SENIOR HIGH SCHOOL,HALF ASSINI,JOMORO,WESTERN
ANNOR ADJAYE SENIOR HIGH SCHOOL,EZILIBO,JOMORO,WESTERN
MPOHOR SENIOR HIGH SCHOOL,MPOHOR,MPOHOR ,WESTERN
DABOASE SENIOR HIGH/TECH SCHOOL,DABOASE,MPOHOR WASSA EAST,WESTERN
GWIRAMAN COMM.SENIOR HIGH SCHOOL,BAMIANKO,NZEMA EAST MUNICIPAL,WESTERN
NSEIN SENIOR HIGH SCHOOL,NSEIN,NZEMA EAST MUNICIPAL,WESTERN
AXIM GIRLS SENIOR HIGH SCHOOL,AXIM,NZEMA EAST MUNICIPAL,WESTERN
"ST. AUGUSTINE'S SENIOR HIGH SCHOOL, BOGOSO",BOGOSO,PRESTEA HUNI VALLEY,WESTERN
HUNI VALLEY SENIOR HIGH SCHOOL,HUNI VALLLEY,PRESTEA HUNI VALLEY,WESTERN
PRESTEA SENIOR HIGH/TECH SCHOOL,PRESTEA,PRESTEA HUNI VALLEY,WESTERN
SEKONDI COLLEGE,SEKONDI,SEKONDI TAKORADI METRO,WESTERN
DIABENE SENIOR HIGH/TECH SCHOOL,DIABENE,SEKONDI TAKORADI METRO,WESTERN
ARCHBISHOP PORTER GIRLS SENIOR HIGH SCHOOL,SEKONDI,SEKONDI TAKORADI METRO,WESTERN
ADIEMBRA SENIOR HIGH SCHOOL,DIABENE,SEKONDI TAKORADI METRO,WESTERN
"METHODIST SENIOR HIGH SCHOOL, SEKONDI",SEKONDI,SEKONDI TAKORADI METRO,WESTERN
"ST. JOHN'S SENIOR HIGH SCHOOL, SEKONDI",SEKONDI,SEKONDI TAKORADI METRO,WESTERN
FIJAI SENIOR HIGH SCHOOL,SEKONDI,SEKONDI TAKORADI METRO,WESTERN
TAKORADI SENIOR HIGH SCHOOL,TANOKROM,SEKONDI TAKORADI METRO,WESTERN
GHANA SENIOR HIGH/TECH SCHOOL,TAKORADI,SEKONDI TAKORADI METRO,WESTERN
BOMPEH SENIOR HIGH./TECH SCHOOL,TAKORADI,SEKONDI TAKORADI METRO,WESTERN
TAKORADI TECH. INST.,TAKORADI,SEKONDI-TAKORADI,WESTERN
SHAMA SENIOR HIGH SCHOOL,SHAMA,SHAMA ,WESTERN
AHANTAMAN GIRLS' SENIOR HIGH SCHOOL,SEKONDI-KETAN,SHAMA AHANTA EAST,WESTERN
TARKWA SENIOR HIGH SCHOOL,TARKWA,TARKWA-NSUAEM MUNICIPAL,WESTERN
FIASEMAN SENIOR HIGH SCHOOL,BANKYIM TARKWA,TARKWA-NSUAEM MUNICIPAL,WESTERN
BENSO SENIOR HIGH/TECH SCHOOL,BENSO,TARKWA-NSUAEM MUNICIPAL,WESTERN
AMENFIMAN SENIOR HIGH SCHOOL,WASA AKROPONG,WASSA AMENFI EAST,WESTERN
ASANKRANGWA SENIOR HIGH SCHOOL,ASANKRAGWA,WASSA AMENFI WEST,WESTERN
NANA BRENTU SENIOR HIGH/TECH SCHOOL,ENCHI,AOWIN SUAMAN,WESTERN NORTH
BIA SENIOR HIGH/TECH SCHOOL,DEBISO ESSIAM,BIA WEST,WESTERN NORTH
ADJOAFUA COMM. SENIOR HIGH SCHOOL,ADJOAFUA,BIA WEST,WESTERN NORTH
BIBIANI SENIOR HIGH/TECH SCHOOL,BIBIANI,BIBIANI/ANHWIASO/ BEKWAI,WESTERN NORTH
"QUEENS GIRLS' SENIOR HIGH SCHOOL, SEFWI AWHIASO",SEFWI AWHIASO,BIBIANI/ANHWIASO/ BEKWAI,WESTERN NORTH
CHIRANO COMM. DAY SENIOR HIGH SCHOOL,CHIRANO,BIBIANI/ANHWIASO/ BEKWAI,WESTERN NORTH
SEFWI BEKWAI SENIOR HIGH SCHOOL,SEFWI BEKWAI,BIBIANI/ANHWIASO/ BEKWAI,WESTERN NORTH
BODI SENIOR HIGH SCHOOL,BODI,BODI,WESTERN NORTH
JUABOSO SENIOR HIGH SCHOOL,JUABOSO,JUABESO,WESTERN NORTH
NSAWORA EDUMAFA COMM. SENIOR HIGH SCHOOL,NSAWORA EDUMAFA,SEFWI AKONTOMBRA,WESTERN NORTH
AKONTOMBRA SENIOR HIGH SCHOOL,AKONTOMBRA,SEFWI AKONTOMBRA,WESTERN NORTH
ASAWINSO SENIOR HIGH SCHOOL,ASAWINSO,SEFWI WIAWSO,WESTERN NORTH
SEFWI-WIAWSO SENIOR HIGH SCHOOL,SEFWI-WIAWSO,SEFWI WIAWSO,WESTERN NORTH
SEFWI-WIAWSO SENIOR HIGH/TECH SCHOOL,SEFWI-WIAWSO,SEFWI WIAWSO,WESTERN NORTH
"ST. JOSEPH SENIOR HIGH SCHOOL, SEFWI WIAWSO",SEFWI WIAWSO,SEFWI WIAWSO ,WESTERN NORTH
DADIESO SENIOR HIGH SCHOOL,DADIESO,SUAMAN,WESTERN NORTH
MANSO-AMENFI COMM. DAY SENIOR HIGH SCHOOL,MANSO-AMENFI,WASSA AMENFI CENTRAL,WESTERN NORTH
,,,
,,,
,,,
